year,State,Vehicles Weighed (Fixed platform Scale),Vehicles Weighed (WIM Scale),Vehicles Weighed (Portable Scale),Vehicles Weighed (Semi-portable Scale),oversize_violation_current_year,overweight_violation_current_year,non_divisible_trip_permits,non_divisible_annual_permits,divisible_trip_permits,divisible_annual_permits
2024,AK,68908,1666041,250,0,134,1298,4563,285,0,0
2024,AL,885184,623281,85236,0,257,8800,152174,11431,0,0
2024,AR,14684,3244662,7276,199,1356,8323,164477,121,3519,556
2024,AZ,1585001,11787613,94,132,17,2071,105960,2259,9,1500
2024,CA,6486458,13008303,471,0,8898,12301,138179,19976,0,0
2024,CO,572272,2186787,7466,1422,578,1430,17969,7886,63,12452
2024,CT,162023,368085,289,0,141,2015,81338,562,0,2086
2024,DC,,10554986,216,0,,0,1130,1551,0,0
2024,DE,15274,311960,515,0,13,1184,41387,6,82117,0
2024,FL,5671929,25587189,10789,117,11875,32450,82155,30973,126,5972
2024,GA,3220732,29400361,1015,0,61,13648,193783,23847,241,110
2024,HI,12870,65796,30,3970,0,1291,3050,101,0,0
2024,IA,366512,420952,2965,200,383,5880,107685,14343,0,5671
2024,ID,618779,3621056,5855,0,394,4452,32000,11977,1,28707
2024,IL,781426,10866038,2599,16224,0,923,147366,3918,0,0
2024,IN,3932910,281146,733,0,49,3175,286831,10937,105704,11390
2024,KS,233400,3196021,9061,0,758,3403,67751,6507,0,4540
2024,KY,153251,3324764,3367,6577,594,2294,91544,6725,1931,1335
2024,LA,1084501,7653170,1767,0,529,7724,84220,1970,0,10641
2024,MA,0,0,18011,75786,540,5633,37239,2038,0,24920
2024,MD,541891,20890590,1171,0,85,4760,124537,2141,0,0
2024,ME,43907,3947632,692,,61,457,15653,204,,
2024,MI,4148,211456,3250,1285,325,7398,79742,12431,0,121
2024,MN,1458683,59496,0,0,,,37757,0,9969,0
2024,MO,581383,11699415,923,0,931,4655,153303,8003,6121,293
2024,MS,3743678,2929463,4738,0,53,929,19789,596,0,10816
2024,MT,383487,597585,6987,0,461,719,23293,2220,1649,518
2024,NC,2988493,12218543,15773,374,700,9739,115324,15206,0,0
2024,ND,8098,13305,550,478,12,85,145135,4304,996,6193
2024,NE,104581,5225006,10699,0,218,466,103837,2612,15284,141
2024,NH,9398,0,110,0,19,53,20945,29424,0,15783
2024,NJ,312008,1617041,5456,631,27,2310,103739,0,2971,0
2024,NM,3472076,695000,27560,875,205,335,92919,9752,238672,0
2024,NV,0,27375,203,0,101,177,12379,2488,34,3292
2024,NY,22,7028,57352,30246,1109,15741,208334,5838,176,36960
2024,OH,1528796,496832,2030,0,343,3105,272840,7907,69497,1086
2024,OK,1173233,5649157,3162,449,739,30752,64446,2772,4698,1936
2024,OR,980475,1686195,2514,0,815,9471,104535,99113,0,212331
2024,PA,18677,368060,2283,0,538,1143,291643,1002,3,2599
2024,PR,127548,126091,14077,12649,13,970,213,,,268
2024,RI,0,1098,1956,0,18,300,10974,327,0,7406
2024,SC,175031,1632302,6083,0,2416,4395,78720,18078,0,0
2024,SD,441361,655702,458,0,201,1306,80290,7311,542,10538
2024,TN,1376665,5427918,446,0,715,3986,121677,8518,0,0
2024,TX,40394,1004298,7408,10720,649,13406,300150,38665,166037,64873
2024,UT,7471652,9532590,350,0,82,4094,43872,7132,2246,15151
2024,VA,3909432,23539329,6375,0,315,24403,83931,16008,0,0
2024,VT,10312,971066,661,0,76,391,8783,2024,0,8453
2024,WA,1564912,8242328,1291,0,1404,7340,77940,4705,0,2968
2024,WI,387403,2987247,1208,0,406,2711,29134,6278,0,7282
2024,WV,271379,195709,361,,61,290,109603,1909,,
2024,WY,319378,3313368,320,0,443,3165,44074,802,586,1465
2023,AK,75060,1630856,240,0,84,1073,4565,252,0,0
2023,AL,836144,119734,77807,707729,1693,3814,140489,11060,0,0
2023,AR,414848,3564527,4999,271,1353,4687,162247,170,2805,430
2023,AZ,1581735,13386615,199,1243,22,2100,68604,1147,13,1891
2023,CA,16097248,73302168,452,0,9031,13257,148359,16582,0,3
2023,CO,1025247,1998957,10760,3100,744,2101,17519,6301,56,12330
2023,CT,193144,235769,293,0,105,2211,82371,647,0,2034
2023,DC,13,53118837,101,0,75,185,1204,1487,0,0
2023,DE,14931,351511,445,0,7,902,41165,11,90488,0
2023,FL,4648821,17210742,14106,61,9493,30754,84473,29284,171,5906
2023,GA,17197,37360994,1092,0,59,18752,185731,25390,84,192
2023,HI,12397,60672,0,3792,0,1076,2119,11,0,0
2023,IA,405277,463675,3213,188,401,6050,114463,15764,0,1411
2023,ID,791418,2206761,8745,0,400,4183,307301,11205,0,28722
2023,IL,883563,11593020,3836,18329,0,626,144329,3849,0,0
2023,IN,229137,3261624,2239,0,3800,231,287455,11451,106165,9788
2023,KS,375762,1465601,9759,0,612,2192,67775,6735,0,4491
2023,KY,183676,3894903,2893,5726,582,2984,87276,6663,1225,1370
2023,LA,1188626,9066172,2361,0,455,11364,94260,2122,0,11841
2023,MA,0,0,14908,48777,516,5523,1946,41070,0,23825
2023,MD,669448,22685408,3443,0,86,5977,81478,2219,0,0
2023,ME,30248,1647478,572,,91,346,15139,188,,
2023,MI,4362,1844682,3119,1650,278,5442,82430,12623,0,93
2023,MN,1115534,10375,957,0,808,4456,37805,0,9788,0
2023,MO,558294,11706117,1267,0,337,2484,149295,8003,6404,414
2023,MS,3695856,2023416,4966,0,116,4551,146899,2399,0,12307
2023,MT,410671,1064832,7053,,457,629,22989,2058,1680,475
2023,NC,3206906,9440572,22531,441,701,15128,107863,15755,0,0
2023,ND,12948,18951,458,2015,29,40,143334,4722,795,6160
2023,NE,161717,3556752,10914,0,168,2659,103122,2517,16376,193
2023,NH,528,0,102,595,16,175,21785,29238,0,17741
2023,NJ,319557,1539671,3506,70,28,3509,56542,0,4,0
2023,NM,3608022,500000,28052,900,205,360,81250,11268,243568,0
2023,NV,458,27199,111,1,63,131,14068,2015,4,4617
2023,NY,25,6984,55668,29080,1114,14409,224382,5838,100,36305
2023,OH,1320921,496832,1654,0,380,4090,1033,63778,7212,267809
2023,OK,1156794,4665424,3406,261,827,19746,65101,2783,4365,1897
2023,OR,1061228,1790891,2989,0,659,9106,107027,86251,0,201392
2023,PA,22177,292501,1946,0,623,1058,308730,2156,4,1928
2023,PR,131936,138429,14646,13714,8,1034,278,,,741
2023,RI,0,875,1638,0,19,455,9534,289,0,6834
2023,SC,166812,2354584,5730,0,1852,4024,67080,18651,0,0
2023,SD,408119,520104,292,0,162,1463,77888,7562,453,10123
2023,TN,1043382,4659763,496,0,745,4787,127408,9322,0,0
2023,TX,39807,812085,4596,1358,621,7709,300669,40023,120910,64043
2023,UT,7355251,9245055,256,0,132,4409,38180,3855,5813,17501
2023,VA,4296169,20357910,7052,0,259,28493,75092,15989,0,0
2023,VT,4257,0,485,0,4,154,9853,2395,0,8986
2023,WA,1381579,8325179,1404,,1567,7091,85035,4613,,2897
2023,WI,352942,2560526,1676,0,877,5469,26304,6173,0,7123
2023,WV,252405,174880,342,0,56,268,109866,1946,,
2023,WY,363913,5114002,242,,496,3242,42162,748,613,1453
2022,AK,83150,1610479,158,0,63,938,4020,259,0,0
2022,AL,123144,795734,74807,0,1435,1165,138770,10404,0,0
2022,AR,183656,2558969,3040,260,909,4254,157297,156,3049,388
2022,AZ,1698079,13740904,109,2723,55,1691,58941,1837,24,1828
2022,CA,16199895,77733554,653,0,9357,15345,149730,18652,0,91
2022,CO,852123,1713839,13988,4356,1072,2460,16522,5751,70,12109
2022,CT,7533,92842,257,0,83,2380,83834,599,0,2034
2022,DC,95,54323136,169,0,4,165,0,0,1202,1757
2022,DE,17505,415423,441,0,36,627,43248,26,91804,0
2022,FL,4515457,15659022,12512,86,8916,33020,77454,26475,106,5513
2022,GA,3766173,32698464,1425,0,102,21693,178920,26565,71,164
2022,HI,26780,106338,0,2056,0,886,894,1,0,0
2022,IA,430474,398185,4118,567,438,6421,105811,22021,0,287
2022,ID,1294443,2465915,18062,0,434,4430,30319,10890,1,29697
2022,IL,962051,12237241,4147,19354,0,541,135755,2603,0,0
2022,IN,222264,3525506,1203,0,45,5240,270241,11304,104203,7219
2022,KS,382503,2991091,5275,0,758,3403,68724,6671,0,4080
2022,KY,169877,4444922,2865,4320,805,2354,83436,6299,1150,1126
2022,LA,916072,8193432,7488,0,359,10494,91560,2024,0,12509
2022,MA,,,16859,65040,335,3312,45201,2118,0,23054
2022,MD,725057,1812667,1186,0,98,8734,78785,5983,0,0
2022,ME,25563,1728912,469,0,118,303,15375,214,0,0
2022,MI,4756,2400000,27843,1800,350,5863,83021,12729,0,117
2022,MN,1428122,2542,1137,0,259,5342,34439,3008,0,9108
2022,MO,697371,11756935,1060,0,539,3448,149255,7722,859,516
2022,MS,5385099,4086590,1639,30,204,7109,139208,2094,0,10523
2022,MT,433379,819442,6901,,497,660,21110,1611,1476,511
2022,NC,3527896,8339137,26989,1565,865,18966,107912,17103,2,289
2022,ND,10861,9793,608,2465,17,79,124094,4106,1468,5492
2022,NE,112816,3613470,9082,0,138,575,100564,2437,,16963
2022,NH,436,76215,209,0,13,446,20918,30564,0,17362
2022,NJ,170144,1679537,4725,38,27,2310,55405,0,1,0
2022,NM,2245000,695000,24985,875,205,135,81250,11268,243568,0
2022,NV,0,17998,164,4,58,97,13671,2179,9,298
2022,NY,0,7275,56521,30345,1100,12598,218087,5201,133,32779
2022,OH,1290835,494967,2383,0,256,3750,248884,7162,55875,1039
2022,OK,1304154,4608847,4495,229,1030,22736,63076,2920,3842,1938
2022,OR,1165694,2008417,2905,0,618,8819,111085,84776,0,190426
2022,PA,10522,239229,1210,0,478,590,293983,1463,0,2306
2022,PR,113541,133463,13951,13780,10,1292,290,0,0,662
2022,RI,0,554,1684,0,2,366,8013,251,0,6633
2022,SC,158198,4329430,4214,0,1929,3576,69212,15205,0,1356
2022,SD,526707,903894,340,0,223,2415,84064,7440,482,10222
2022,TN,1090607,5557904,188,0,1039,5039,124048,8076,0,0
2022,TX,36163,881399,5389,964,745,9116,284774,39519,88315,59542
2022,UT,6445506,7128032,256,0,183,4311,33434,3795,5533,16616
2022,VA,4502195,19291629,8257,0,182,28156,60451,14131,0,0
2022,VT,4197,0,338,0,42,172,2354,12800,0,8759
2022,WA,1276169,8685046,1472,,1777,7154,85928,4458,0,2902
2022,WI,358142,2953324,1431,0,625,4685,24393,5712,0,7139
2022,WV,222320,206837,554,,72,391,104,1794,,
2022,WY,411617,5217354,267,,374,3423,37655,798,674,1605
